192.168.1.100,192.168.1.254,46217,82581413,www.latimes.com,1,2,82612750,1,82627289,2,a1574.w3.akamai.net,75,168,172.56.140.89
192.168.1.100,192.168.1.254,47905,82604810,e4569.g.akamaiedge.net,1,1,82604810,1,82610027,0,,82,98,23.198.173.12
192.168.1.100,192.168.1.254,42117,83521897,safebrowsing.google.com,1,2,83553144,1,83577510,1,sb.l.google.com,83,358,216.58.212.142
192.168.1.100,192.168.1.254,23904,81568918,e-0001.e-msedge.net,1,1,81568918,1,81569808,0,,79,95,13.107.5.80
192.168.1.100,192.168.1.254,55809,81570180,e-0001.e-msedge.net,0,2,81600591,1,81608641,0,,79,139,
192.168.1.100,192.168.1.254,3603,82530105,www.bloomberg.com,1,2,82563555,1,82603545,2,e4569.g.akamaiedge.net,77,169,23.198.173.12
192.168.1.100,192.168.1.254,44501,82355247,abcnews.go.com,1,2,82386051,1,82446758,1,abcnews.gns.go.com,74,116,68.71.209.235
192.168.1.100,192.168.1.254,52346,81567578,a-0001.a-msedge.net,1,1,81567578,1,81568921,0,,79,111,13.107.21.200
192.168.1.100,192.168.1.254,321,81569242,a-0001.a-msedge.net,0,2,81599601,1,81608640,0,,79,139,
192.168.1.100,192.168.1.254,6800,82581103,www.npr.org,1,2,82612769,1,82627290,2,e4539.g.akamaiedge.net,71,162,23.198.107.76
192.168.1.100,192.168.1.254,9019,81689414,dual.a-0001.a-msedge.net,0,2,81720698,1,81730729,0,,84,112,
192.168.1.100,192.168.1.254,31090,82850189,e11290.dspg.akamaiedge.net,1,1,82850189,1,82851397,0,,86,102,23.198.108.23
192.168.1.100,192.168.1.254,53260,82443353,a915.g.akamai.net,0,2,82473895,1,82479935,0,,77,138,
192.168.1.100,192.168.1.254,44541,82808470,e5952.b.akamaiedge.net,1,1,82808470,1,82809630,0,,82,98,23.48.158.163
192.168.1.100,192.168.1.254,44288,82810137,e5952.b.akamaiedge.net,0,2,82841229,1,82848601,0,,82,143,
192.168.1.100,192.168.1.254,25873,82851874,e11290.dspg.akamaiedge.net,0,2,82882290,1,82889084,0,,86,142,
192.168.1.100,192.168.1.254,29060,82910245,ssl.bingnewspubhub.bingnewspublishercenterase.p.azurewebsites.net,1,1,82910245,1,82911630,0,,125,141,138.91.136.141
