clientIp, serverIp, query_id, initial_time, query_name, query_rtype, nb_repeats, last_repeat_time, nb_response, first_response_time, cname_count, cname, query_length, response_length, a_val, response_time, repeat_time
192.168.1.102,8.8.8.8,29983,1436503188,search.bbc.net.uk,AAAA,1,1436503188,1,1436574012,0,,77,137,, 70824, 0
192.168.1.102,8.8.8.8,40697,98299672,www.learnvest.com,A,2,98455823,2,98487756,0,,77,109,54.172.243.180, 188084, 156151
192.168.1.102,8.8.8.8,39805,476944216,www.usmagazine.com,A,1,476944216,1,477060322,1,prod.k.ssl.global.fastlylb.net,78,186,151.101.0.69, 116106, 0
192.168.1.102,8.8.8.8,53621,9489478,partnerad.l.doubleclick.net,AAAA,1,9489478,1,9586720,0,,87,147,, 97242, 0
192.168.1.102,8.8.8.8,28145,1398462582,tiles.graphiq.com,AAAA,1,1398462582,1,1398541832,0,,77,135,, 79250, 0
192.168.1.102,8.8.8.8,7258,1443025186,uk.pinterest.com,A,2,1443117486,2,1443119416,3,prod.pinterest.global.map.fastly.net,76,245,151.101.0.84, 94230, 92300
192.168.1.102,8.8.8.8,46719,9420401,partnerad.l.doubleclick.net,A,1,9420401,1,9488979,0,,87,103,216.58.193.98, 68578, 0
192.168.1.102,8.8.8.8,54248,182592532,a1949.g.akamai.net,AAAA,1,182592532,1,182666273,0,,78,139,, 73741, 0
192.168.1.102,8.8.8.8,24354,7170546,f2.shared.global.fastly.net,AAAA,1,7170546,1,7247844,0,,87,148,, 77298, 0
192.168.1.102,8.8.8.8,36350,126951318,disneyprivacycenter.com,A,1,126951318,1,127007655,0,,83,99,199.181.133.212, 56337, 0
192.168.1.102,8.8.8.8,38827,1341040007,d32oduq093hvot.cloudfront.net,A,2,1341132989,2,1341360698,0,,89,217,52.84.50.224, 320691, 92982
192.168.1.102,8.8.8.8,11302,1038982511,f2.shared.global.fastly.net,A,1,1038982511,1,1039040509,0,,87,151,151.101.2.2, 57998, 0
192.168.1.102,8.8.8.8,30160,1022320322,foreignpolicy.com,AAAA,1,1022320322,1,1022399717,0,,77,138,, 79395, 0
192.168.1.102,8.8.8.8,54556,1576080537,f2.shared.global.fastly.net,A,1,1576080537,1,1576150548,0,,87,151,151.101.2.2, 70011, 0
192.168.1.102,8.8.8.8,43024,1250365330,f2.shared.global.fastly.net,AAAA,2,1250457859,2,1250459025,0,,87,148,, 93695, 92529
192.168.1.102,8.8.8.8,42291,750643765,a550.g1.akamai.net,AAAA,1,750643765,1,750732948,0,,78,140,, 89183, 0
192.168.1.102,8.8.8.8,45331,1039041115,f2.shared.global.fastly.net,AAAA,1,1039041115,1,1039100523,0,,87,148,, 59408, 0
192.168.1.102,8.8.8.8,51194,5788483,static.chartbeat.com,A,1,5788483,1,5850889,1,global.ssl.fastly.net,80,179,151.101.0.249, 62406, 0
192.168.1.102,8.8.8.8,30982,27506063,static.chartbeat.com,A,1,27506063,1,27569123,1,global.ssl.fastly.net,80,179,151.101.0.249, 63060, 0
192.168.1.102,8.8.8.8,28441,119434108,static.chartbeat.com,A,1,119434108,1,119494901,1,global.ssl.fastly.net,80,179,151.101.0.249, 60793, 0
192.168.1.102,8.8.8.8,22283,219002959,static.chartbeat.com,A,1,219002959,1,219053928,1,global.ssl.fastly.net,80,179,151.101.0.249, 50969, 0
192.168.1.102,8.8.8.8,41488,384083647,abcnews.gns.go.com,A,1,384083647,1,384141172,0,,78,94,68.71.209.234, 57525, 0
192.168.1.102,8.8.8.8,26527,697933670,davidlynch.org,A,1,697933670,1,698009217,0,,74,90,207.38.86.251, 75547, 0
192.168.1.102,8.8.8.8,49811,698010238,davidlynch.org,A,1,698010238,1,698085984,0,,74,90,207.38.86.251, 75746, 0
192.168.1.102,8.8.8.8,45558,698086541,davidlynch.org,AAAA,1,698086541,1,698164981,0,,74,102,2605:de00:1:1:4a:34:0:78, 78440, 0
192.168.1.102,8.8.8.8,41141,700759257,static.chartbeat.com,A,1,700759257,1,700813250,1,global.ssl.fastly.net,80,179,151.101.0.249, 53993, 0
192.168.1.102,8.8.8.8,11594,754819640,static.chartbeat.com,A,1,754819640,1,754886204,1,global.ssl.fastly.net,80,179,151.101.0.249, 66564, 0
192.168.1.102,8.8.8.8,27210,812458314,6owxs.x.incapdns.net,A,2,812551053,2,812600112,0,,80,96,192.230.67.108, 141798, 92739
192.168.1.102,8.8.8.8,23708,812600807,6owxs.x.incapdns.net,AAAA,2,812694577,2,812723573,0,,80,80,, 122766, 93770
192.168.1.102,8.8.8.8,22202,1038365721,static.chartbeat.com,A,1,1038365721,1,1038415640,1,global.ssl.fastly.net,80,179,151.101.0.249, 49919, 0
192.168.1.102,8.8.8.8,3581,1042161073,uk.reuters.com,A,2,1042254466,2,1042286493,1,uk.reutersmedia.net,74,235,52.84.21.128, 125420, 93393
192.168.1.102,8.8.8.8,54959,1013840829,a1574.w3.akamai.net,A,2,1013933949,2,1013938153,0,,79,111,172.56.140.74, 97324, 93120
192.168.1.102,8.8.8.8,65456,1257624658,static.chartbeat.com,A,1,1257624658,1,1257683973,1,global.ssl.fastly.net,80,179,151.101.0.249, 59315, 0
192.168.1.102,8.8.8.8,7498,1324823955,www.nytimes.com,A,1,1324823955,1,1324903281,1,nytimes.map.fastly.net,75,175,151.101.1.164, 79326, 0
192.168.1.102,8.8.8.8,38210,1379821223,www.nytimes.com,A,1,1379821223,1,1379881598,1,nytimes.map.fastly.net,75,175,151.101.1.164, 60375, 0
192.168.1.102,8.8.8.8,11818,1402328938,newsweekpakistan.com,A,1,1402328938,1,1402420036,0,,80,96,162.144.153.125, 91098, 0
192.168.1.102,8.8.8.8,55521,1402420694,newsweekpakistan.com,A,1,1402420694,1,1402493958,0,,80,96,162.144.153.125, 73264, 0
192.168.1.102,8.8.8.8,33191,114324947,a1768.b.akamai.net,AAAA,1,114324947,1,114418370,0,,78,139,, 93423, 0
192.168.1.102,8.8.8.8,5059,1402494505,newsweekpakistan.com,AAAA,1,1402494505,1,1402580986,0,,80,160,, 86481, 0
192.168.1.102,8.8.8.8,31208,1436165895,static.chartbeat.com,A,1,1436165895,1,1436213425,1,global.ssl.fastly.net,80,179,151.101.0.249, 47530, 0
192.168.1.102,8.8.8.8,21379,1453060017,static.chartbeat.com,A,1,1453060017,1,1453132889,1,global.ssl.fastly.net,80,179,151.101.0.249, 72872, 0
192.168.1.102,8.8.8.8,63128,1574691242,static.chartbeat.com,A,1,1574691242,1,1574768463,1,global.ssl.fastly.net,80,179,151.101.0.249, 77221, 0
192.168.1.102,8.8.8.8,5635,1576151348,f2.shared.global.fastly.net,AAAA,1,1576151348,1,1576201510,0,,87,148,, 50162, 0
192.168.1.102,8.8.8.8,29254,1578319228,foxnews.tt.omtrdc.net,A,1,1578319228,1,1578396013,0,,81,145,66.235.155.62, 76785, 0
192.168.1.102,8.8.8.8,37955,1578706605,a1254.w7.akamai.net,A,2,1578799724,2,1578835987,0,,79,111,165.254.238.216, 129382, 93119
192.168.1.102,8.8.8.8,8060,1413614751,nytimes.map.fastly.net,A,1,1413614751,1,1413673644,0,,82,146,151.101.1.164, 58893, 0
192.168.1.102,8.8.8.8,38723,6754047,a1853.g.akamai.net,AAAA,1,6754047,1,6825836,0,,78,139,, 71789, 0
192.168.1.102,8.8.8.8,34620,397843115,www.zdnet.fr,A,1,397843115,1,397921294,0,,72,88,146.185.42.33, 78179, 0
192.168.1.102,8.8.8.8,30124,1239584467,e8732.dscb.akamaiedge.net,A,2,1239675076,2,1239721648,0,,85,101,23.41.243.198, 137181, 90609
192.168.1.102,8.8.8.8,43116,1239467542,yalibnan.com,A,2,1239550084,2,1239555796,0,,72,88,64.207.184.218, 88254, 82542
192.168.1.102,8.8.8.8,25792,97291528,d3sbw4qaf1wi29.cloudfront.net,A,1,97291528,1,97429490,0,,89,217,52.84.21.34, 137962, 0
192.168.1.102,8.8.8.8,62527,1228216314,lacrossetribune.com,A,1,1228216314,1,1228296317,0,,79,111,192.104.182.209, 80003, 0
192.168.1.102,8.8.8.8,48146,1578396681,foxnews.tt.omtrdc.net,A,1,1578396681,1,1578489003,0,,81,145,66.235.155.62, 92322, 0
192.168.1.102,8.8.8.8,2279,1579211755,insider.foxnews.com,A,2,1579304499,2,1579340096,2,a2000.dscf1.akamai.net,79,195,165.254.26.169, 128341, 92744
192.168.1.102,8.8.8.8,38299,1022159731,foreignpolicy.com,A,1,1022159731,1,1022239684,0,,77,109,192.0.79.33, 79953, 0
192.168.1.102,8.8.8.8,27529,1339135840,d2fss5beqk4xh8.cloudfront.net,A,1,1339135840,1,1339219911,0,,89,217,52.84.50.19, 84071, 0
192.168.1.102,8.8.8.8,65087,1042103016,jp.reutersmedia.net,AAAA,1,1042103016,1,1042160651,0,,79,160,, 57635, 0
192.168.1.102,8.8.8.8,17183,1403533094,partnerad.l.doubleclick.net,A,1,1403533094,1,1403613030,0,,87,103,216.58.193.98, 79936, 0
192.168.1.102,8.8.8.8,63702,1453124530,waws-prod-bn1-009.cloudapp.net,A,1,1453124530,1,1453210788,0,,90,106,13.68.29.136, 86258, 0
192.168.1.102,8.8.8.8,21093,700699629,www.france3.fr,A,2,700791987,2,700865659,3,a253.w5.akamai.net,74,215,172.56.140.74, 166030, 92358
192.168.1.102,8.8.8.8,34570,219267034,biglisten.org,A,1,219267034,1,219352244,0,,73,89,54.164.224.252, 85210, 0
192.168.1.102,8.8.8.8,18359,219426681,biglisten.org,AAAA,1,219426681,1,219504007,0,,73,134,, 77326, 0
192.168.1.102,8.8.8.8,9282,754844980,www.france3.fr,A,2,754938172,2,755005196,3,a253.w5.akamai.net,74,215,172.56.140.89, 160216, 93192
192.168.1.102,8.8.8.8,38914,1240949842,www.nytimes.com,A,1,1240949842,1,1241023782,1,nytimes.map.fastly.net,75,175,151.101.1.164, 73940, 0
192.168.1.102,8.8.8.8,9005,1402228586,www.newsweekjapan.jp,A,2,1402321235,2,1402341977,1,drl6uo2pre3aa.cloudfront.net,80,250,52.84.50.216, 113391, 92649
192.168.1.102,8.8.8.8,1774,384663385,a-0001.a-msedge.net,AAAA,1,384663385,1,384722739,0,,79,139,, 59354, 0
192.168.1.102,8.8.8.8,34418,1019425285,a-0001.a-msedge.net,AAAA,1,1019425285,1,1019501091,0,,79,139,, 75806, 0
192.168.1.102,8.8.8.8,61835,356611149,www.businessinsider.com,A,1,356611149,1,356663140,1,prod.f.ssl.global.fastly.net,83,189,151.101.128.64, 51991, 0
192.168.1.102,8.8.8.8,30307,1403383117,instagram.com,A,1,1403383117,1,1403453981,0,,73,201,52.87.140.30, 70864, 0
192.168.1.102,8.8.8.8,15257,1433946747,www.googletagservices.com,A,1,1433946747,1,1434039245,1,pagead46.l.doubleclick.net,85,141,216.58.193.66, 92498, 0
192.168.1.102,8.8.8.8,24543,1336905552,www.centralpalc.com,A,2,1337000969,2,1337173820,0,,79,95,62.149.140.198, 268268, 95417
192.168.1.102,8.8.8.8,23622,1250289024,f2.shared.global.fastly.net,A,1,1250289024,1,1250364897,0,,87,151,151.101.2.2, 75873, 0
192.168.1.102,8.8.8.8,41877,1578570292,www.foxnewsgo.com,A,2,1578663208,2,1578706013,2,a1254.w7.akamai.net,77,184,165.254.238.216, 135721, 92916
192.168.1.102,8.8.8.8,56967,344002981,www.facebook.com,A,1,344002981,1,344064624,1,star-mini.c10r.facebook.com,76,121,31.13.77.36, 61643, 0
192.168.1.102,8.8.8.8,40054,842186291,star.c10r.facebook.com,AAAA,1,842186291,1,842245721,0,,82,110,2a03:2880:f022:6:face:b00c:0:2, 59430, 0
192.168.1.102,8.8.8.8,56597,7189428,cdn.tinypass.com,AAAA,1,7189428,1,7277674,0,,76,135,, 88246, 0
192.168.1.102,8.8.8.8,32886,1401455179,hls.ibt.com,A,2,1401548497,2,1401577908,2,gs1.wpc.v3cdn.net,71,153,93.184.215.223, 122729, 93318
192.168.1.102,8.8.8.8,41895,1579208943,e6338.dsce2.akamaiedge.net,A,2,1579303499,2,1579338099,0,,86,102,23.41.247.126, 129156, 94556
192.168.1.102,8.8.8.8,4,1579339344,e6338.dsce2.akamaiedge.net,AAAA,2,1579433258,2,1579476159,0,,86,142,2600:1409:a:382::18c2, 136815, 93914
192.168.1.102,8.8.8.8,33301,25750736,prod.f.ssl.global.fastly.net,AAAA,1,25750736,1,25836285,0,,88,149,, 85549, 0
192.168.1.102,8.8.8.8,26977,1337397318,a485.b.akamai.net,AAAA,1,1337397318,1,1337463463,0,,77,138,, 66145, 0
192.168.1.102,8.8.8.8,33121,1583771063,a990.g.akamai.net,AAAA,1,1583771063,1,1583862521,0,,77,138,, 91458, 0
192.168.1.102,8.8.8.8,5441,219433767,onlyagame.wbur.org,A,1,219433767,1,219485228,0,,78,94,54.235.254.104, 51461, 0
192.168.1.102,8.8.8.8,5316,431682029,prod.k.ssl.global.fastlylb.net,A,1,431682029,1,431741363,0,,90,154,151.101.0.69, 59334, 0
192.168.1.102,8.8.8.8,19714,28276492,a1853.g.akamai.net,A,1,28276492,1,28358486,0,,78,110,172.56.140.89, 81994, 0
192.168.1.102,8.8.8.8,17487,115354896,dual.a-0001.a-msedge.net,AAAA,1,115354896,1,115434414,0,,84,112,2620:1ec:c11::200, 79518, 0
192.168.1.102,8.8.8.8,42643,1576870651,foxnews.com.d1.sc.omtrdc.net,AAAA,1,1576870651,1,1576948993,0,,88,149,, 78342, 0
192.168.1.102,8.8.8.8,35357,219945726,e10784.a.akamaiedge.net,A,1,219945726,1,220071022,0,,83,99,23.41.184.49, 125296, 0
192.168.1.102,8.8.8.8,45151,538980570,scontent-sea1-1.xx.fbcdn.net,AAAA,1,538980570,1,539067269,0,,88,116,2a03:2880:f001:b:face:b00c:0:3, 86699, 0
192.168.1.102,8.8.8.8,57793,476944221,www.medscape.com,A,2,477069297,2,477105279,1,tvgxj.x.incapdns.net,76,126,192.230.67.227, 161058, 125076
192.168.1.102,8.8.8.8,25142,1577990675,securepubads.g.doubleclick.net,A,1,1577990675,1,1578081974,1,partnerad.l.doubleclick.net,90,132,216.58.193.66, 91299, 0
192.168.1.102,8.8.8.8,31340,28119093,as.casalemedia.com,A,1,28119093,1,28275336,2,a1853.g.akamai.net,78,185,172.56.140.89, 156243, 0
192.168.1.102,8.8.8.8,27720,126875133,disneyprivacycenter.com,A,1,126875133,1,126950692,0,,83,99,199.181.133.212, 75559, 0
192.168.1.102,8.8.8.8,28826,395304425,zdnet3.cbsistatic.com,A,2,395432287,2,395439081,2,a1949.b.akamai.net,81,183,165.254.237.139, 134656, 127862
192.168.1.102,8.8.8.8,8324,219301640,www.maximumfun.org,A,1,219301640,1,219379925,0,,78,94,69.163.179.233, 78285, 0
192.168.1.102,8.8.8.8,5461,479801844,atlas.c10r.facebook.com,A,1,479801844,1,479860838,0,,83,99,157.240.11.5, 58994, 0
192.168.1.102,8.8.8.8,14526,218821631,www.wbur.org,A,1,218821631,1,218892275,0,,72,88,54.235.254.104, 70644, 0
192.168.1.102,8.8.8.8,60051,1042987199,a1641.dscb.akamai.net,AAAA,2,1043080062,2,1043129526,0,,81,137,2600:1409:a::b81b:b299, 142327, 92863
192.168.1.102,8.8.8.8,8633,10947543,www.reuters.com,A,1,10947543,1,11050631,1,www.reutersmedia.net,75,237,52.84.21.195, 103088, 0
192.168.1.102,8.8.8.8,18334,1580138145,ext-cust.squarespace.com,A,1,1580138145,1,1580209912,0,,84,148,198.185.159.144, 71767, 0
192.168.1.102,8.8.8.8,38717,28059340,e1650.g.akamaiedge.net,AAAA,2,28215438,2,28219574,0,,82,143,, 160234, 156098
192.168.1.102,8.8.8.8,62826,9709002,api.gtm.ooyala.com.akadns.net,A,2,9865446,2,10010502,0,,89,201,54.250.254.19, 301500, 156444
192.168.1.102,8.8.8.8,62765,849582116,atlas.c10r.facebook.com,AAAA,1,849582116,1,849632058,0,,83,111,2a03:2880:f022:2:face:b00c:0:8c, 49942, 0
192.168.1.102,8.8.8.8,20805,119625480,www.googleadservices.com,A,1,119625480,1,119687056,1,pagead.l.doubleclick.net,84,138,216.58.216.130, 61576, 0
192.168.1.102,8.8.8.8,50271,538921149,scontent-sea1-1.xx.fbcdn.net,A,1,538921149,1,538980093,0,,88,104,31.13.76.107, 58944, 0
192.168.1.102,8.8.8.8,33630,28059338,e5508.g.akamaiedge.net,AAAA,2,28215439,2,28219575,0,,82,143,, 160237, 156101
192.168.1.102,8.8.8.8,53580,119738997,ocsp.entrust.net,A,1,119738997,1,119822830,2,e6913.dscx.akamaiedge.net,76,167,23.200.229.126, 83833, 0
192.168.1.102,8.8.8.8,26160,323312496,assets.vidora.com,A,1,323312496,1,323425600,1,d21fobsail520z.cloudfront.net,77,248,52.84.21.90, 113104, 0
192.168.1.102,8.8.8.8,20713,1578185787,prod.outbrain.map.fastlylb.net,A,1,1578185787,1,1578249000,0,,90,154,151.101.0.68, 63213, 0
192.168.1.102,8.8.8.8,52031,477511153,scontent-sea1-1.xx.fbcdn.net,AAAA,1,477511153,1,477600231,0,,88,116,2a03:2880:f001:b:face:b00c:0:3, 89078, 0
192.168.1.102,8.8.8.8,47632,1241133761,nyhetsbanken.info,A,1,1241133761,1,1241214779,0,,77,93,5.135.76.19, 81018, 0
192.168.1.102,8.8.8.8,42384,1225982636,www.reuters.com,A,2,1226062612,2,1226097828,1,www.reutersmedia.net,75,237,52.84.21.64, 115192, 79976
192.168.1.102,8.8.8.8,47841,1020932357,www.freebase.com,A,1,1020932357,1,1021000627,1,ghs-svc-https-sni.ghs-ssl.googlehosted.com,76,145,216.58.216.179, 68270, 0
192.168.1.102,8.8.8.8,11400,96949930,www.reuters.com,A,2,97105649,2,97139411,1,www.reutersmedia.net,75,237,52.84.21.34, 189481, 155719
192.168.1.102,8.8.8.8,37994,1326697909,www.google-analytics.com,A,1,1326697909,1,1326755657,1,www-google-analytics.l.google.com,84,320,172.56.146.18, 57748, 0
192.168.1.102,8.8.8.8,47734,1020261413,www.reuters.com,A,2,1020354362,2,1020361182,1,www.reutersmedia.net,75,237,52.84.21.78, 99769, 92949
